outlet,framework,category,n_dominant_all
abs,schwartz,Security,1253
abs,schwartz,Power,804
abs,schwartz,Achievement,600
abs,schwartz,Benevolence,407
abs,schwartz,Universalism,648
abs,schwartz,Stimulation,325
abs,schwartz,Tradition,567
abs,schwartz,Self-Direction,251
abs,schwartz,Conformity,313
abs,mft,care,1012
abs,mft,fairness,635
abs,mft,loyalty,909
abs,mft,authority,1541
abs,mft,sanctity,1071
gma,schwartz,Security,3757
gma,schwartz,Power,3358
gma,schwartz,Achievement,2249
gma,schwartz,Benevolence,928
gma,schwartz,Universalism,1975
gma,schwartz,Stimulation,1253
gma,schwartz,Tradition,871
gma,schwartz,Self-Direction,1127
gma,schwartz,Conformity,953
gma,mft,care,2733
gma,mft,fairness,3053
gma,mft,loyalty,3837
gma,mft,authority,4876
gma,mft,sanctity,1972
rappler,schwartz,Security,3124
rappler,schwartz,Power,3324
rappler,schwartz,Achievement,4686
rappler,schwartz,Benevolence,1563
rappler,schwartz,Universalism,3183
rappler,schwartz,Stimulation,4025
rappler,schwartz,Tradition,1976
rappler,schwartz,Self-Direction,2794
rappler,schwartz,Conformity,1576
rappler,mft,care,4798
rappler,mft,fairness,4441
rappler,mft,loyalty,7059
rappler,mft,authority,5050
rappler,mft,sanctity,4903
