cluster_id,n_articles,tfidf_label
-1,62,(noise)
24,25,"tv patrol, nagpa patrol, cbn news"
20,25,"abs cbn, tv patrol, nagpa patrol"
25,22,"marso 2024, tv patrol, nagpa patrol"
4,20,"holy week, good friday, abs cbn"
8,17,"coast guard, south china, china sea"
10,17,"healthcare staffing, abs cbn, cbn news"
13,17,"apollo quiboloy, televangelist apollo, jesus christ"
16,16,"charter change, world tonight, tonight anc"
2,16,"metro manila, holy week, quezon city"
5,15,"el niño, metro manila, dry season"
26,13,"sabi ni, kolorum van, quezon city"
0,12,"chocolate hills, captain peak, closure order"
1,12,"israeli army, red sea, health ministry"
9,10,"imelda marcos, jaclyn jose, abs cbn"
12,10,"philippine embassy, sexual minorities, 000 euros"
15,9,"south china, china sea, marcos jr"
18,9,"sm prime, group enhypen, falling slowly"
17,8,"film maker, jade castro, kudo kai"
6,8,"halo halo, momzilla fair, paralympic games"
3,8,"marcos jr, czech republic, president ferdinand"
23,8,"robbery homicide, misamis occidental, senior citizens"
22,6,"el niño, tv patrol, marso 2024"
7,6,"gulf aden, filipino seafarers, houthi missile"
21,6,"sta maria, universal woman, liza soberano"
19,5,"ni acorda, rommel francisco, francisco marbil"
14,5,"west philippine, philippine sea, international law"
11,5,"person classes, cbn news, abs cbn"
27,5,"junk shop, taal volcano, davao city"
