cluster_id,n_articles,tfidf_label
0,234,"manila philippines, year old, los angeles"
-1,158,(noise)
18,71,"negros occidental, manila philippines, southwest monsoon"
27,64,"china sea, south china, west philippine"
8,50,"social media, rappler com, artificial intelligence"
23,44,"film festival, los angeles, box office"
25,43,"kitchen 143, manila philippines, live tuesday"
21,40,"manila philippines, rappler talk, rappler com"
34,38,"human rights, drug war, manila philippines"
20,36,"live jam, rappler live, taylor swift"
7,30,"palm sunday, holy week, good friday"
30,25,"alice guo, human trafficking, mayor alice"
5,24,"gaza strip, israel said, united nations"
12,22,"binibining pilipinas, miss universe, coronation night"
1,22,"licensure examination, april 2024, electronics engineers"
16,22,"digital bank, digital banks, sm prime"
13,21,"metro manila, ride hailing, san miguel"
32,19,"del norte, davao del, ferdinand marcos"
29,18,"vice president, charter change, 1987 constitution"
4,18,"islamic state, defense minister, rest world"
17,18,"heat index, el niño, public schools"
14,17,"social media, mindanao announced, comfort women"
24,14,"cebu pacific, international airport, hong kong"
31,14,"social media, apollo quiboloy, rodrigo duterte"
22,13,"book fair, mindanao book, big bad"
28,13,"vice president, public square, marcos jr"
6,11,"le pen, far right, prime minister"
19,10,"chocolate hills, sagbayan peak, bud agta"
11,10,"cagayan oro, water district, bulk water"
15,9,"el niño, rice inflation, ao 20"
9,8,"dr congo, floppy disks, pediatric care"
3,8,"pope francis, democracy good, nobel peace"
2,8,"fact check, scholarship program, academic dishonesty"
26,8,"bagong pilipinas, barangay guinhalinan, del sur"
10,8,"plastic waste, biosphere reserve, trash gathered"
33,8,"drug war, ballot box, rest wicked"
